iso,year,mil_delta,log_rgdp_pc,log_gov_pc,log_tfp,tbill,def_gdp,debt_gdp
CHE,2019,0.04344775496647413,3.9123956744298782,1.631712377128575,2.660303890202239,-1.0,0.8190360955877878,39.793
CHE,2020,0.07623464846721173,3.8833042925539685,1.8460733304289798,2.6575407352759908,-0.8500000000000001,-2.4356544396599786,42.381
DNK,1955,-0.013179759184832385,-4.58382685943833,-6.496278155071,1.709099965208854,5.791666731238365,1.4591977869986128,29.128919860627178
DNK,1956,-0.15490347834980245,-4.581429658761383,-6.454558331805199,1.7163653523152078,5.999999865889549,0.782437194865658,28.915032679738562
DNK,1957,0.05250924413740421,-4.552403573452291,-6.389979233738348,1.7800999562650763,5.999999865889549,0.389412838454522,26.70294117647059
DNK,1958,-0.2016840134952136,-4.52200555308338,-6.323656531365227,1.7911364125312812,5.6458331644535065,0.6173558532323834,24.490849673202618
DNK,1959,-0.28809748147689573,-4.442603153434244,-6.261726587135214,1.8410358318194582,5.145833268761635,1.4389244827224013,22.278758169934644
DNK,1960,0.13986379696520368,-4.394062381508447,-6.212003827653548,1.8444521268216982,5.958333238959312,1.8241553474231285,20.06666666666667
DNK,1961,-0.14206591098729682,-4.322347607441034,-5.9976109671920765,1.874173527226438,6.624999642372131,-0.9316906348649578,16.43076923076923
DNK,1962,0.4314614590556456,-4.282416316987497,-5.914626993843602,1.893169681575299,7.000000029802322,-0.3152548309883794,15.255905511811024
DNK,1963,0.023250789647623282,-4.294730619225667,-5.882969673526247,1.8671632497231814,6.812500208616257,-0.02947570096901668,13.671028037383179
DNK,1964,-0.19860942291865058,-4.199240897498355,-5.8200895371746055,1.9209417196074852,6.541666388511658,0.4109655272445926,14.546644844517184
DNK,1965,-0.010776737679410342,-4.14403507884644,-5.703044489656791,1.9270831750640005,7.000000029802322,-0.26398852223816294,12.915080527086383
DNK,1966,-0.1953880342132166,-4.052989700990885,-5.623332539986639,1.9161891624305591,7.000000029802322,0.036401493917311824,11.240963855421688
DNK,1967,-0.04853877527471351,-4.043038178534359,-5.537992678453836,1.9625590027779303,7.041666656732559,-1.8856100653050756,10.05982905982906
DNK,1968,0.08772322626430329,-4.0166016756454415,-5.458221362696232,2.0086093060582892,7.16666653752327,1.2182624852159791,9.358342665173572
DNK,1969,-0.2843265185158774,-3.9234474308053726,-5.391421514221311,2.0554736787177994,8.500000089406967,0.8615039800878447,8.357
DNK,1970,0.03751233453902714,-3.892008299718624,-5.192897970933022,2.0500467761529673,9.49999988079071,1.5406127140918726,7.6187499999999995
DNK,1971,-0.06689777657932261,-3.854574109936382,-5.106969350545392,2.0745698532625916,8.187499642372131,0.12346866227771638,7.719642857142858
DNK,1972,-0.18224884349588155,-3.7936350686910583,-5.047270396917663,2.1047395600441003,7.770833373069763,0.6119587896545339,6.644961240310076
DNK,1973,-0.20416576258213714,-3.747589545839708,-5.079128871114417,2.1349671190207253,8.104166388511658,2.9439778708396815,5.851677852348993
DNK,1974,0.25903634827806865,-3.7811121679660493,-4.977768859556118,2.117738169502063,13.3366659283638,1.8721977670991719,5.082941176470588
DNK,1975,0.16240561069958837,-3.7650254494150706,-4.929792663540543,2.1272098362367364,6.470832973718643,-2.404825680666066,4.255026455026455
DNK,1976,-0.19304635746987486,-3.706500786076128,-4.873204494986143,2.158853340225106,10.279999673366547,-1.2343146753520464,4.494036697247707
DNK,1977,0.012099943800115032,-3.711659391332979,-4.854685645783059,2.1767271468725085,14.481666684150696,-1.5418315151566195,8.779166666666667
DNK,1978,0.055518065936077665,-3.7023755896441175,-4.818215037864204,2.191169309695768,15.42000025510788,-1.2052484665376197,14.09509433962264
DNK,1979,-0.02029382216838549,-3.690339366088619,-4.7622442685190345,2.214903756807708,12.63333261013031,-2.142644128744487,19.374657534246577
